id=00001; nom=Casque audio; categorie=Accessoires; prix=299 DH; stock=83; fournisseur=CasaDigital; ville_stock=Kenitra
id=00002; nom=Ordinateur portable; categorie=Informatique; prix=9562 DH; stock=68; fournisseur=RabatIT; ville_stock=Laayoune
id=00003; nom=Ecran 24 pouces; categorie=Informatique; prix=2204 DH; stock=449; fournisseur=AtlasCom; ville_stock=Settat
id=00004; nom=Disque SSD 1To; categorie=Stockage; prix=1363 DH; stock=356; fournisseur=NordInfo; ville_stock=Tanger
id=00005; nom=Casque audio; categorie=Accessoires; prix=332 DH; stock=429; fournisseur=CasaDigital; ville_stock=Safi
id=00006; nom=Clavier mecanique; categorie=Accessoires; prix=552 DH; stock=214; fournisseur=TechMaroc; ville_stock=Nador
id=00007; nom=Tablette graphique; categorie=Informatique; prix=1610 DH; stock=346; fournisseur=CasaDigital; ville_stock=Safi
id=00008; nom=Disque SSD 1To; categorie=Stockage; prix=1302 DH; stock=104; fournisseur=TechMaroc; ville_stock=Meknes
id=00009; nom=Ordinateur portable; categorie=Informatique; prix=7193 DH; stock=134; fournisseur=CasaDigital; ville_stock=Taza
id=00010; nom=Ecran 24 pouces; categorie=Informatique; prix=1592 DH; stock=192; fournisseur=MaghrebTech; ville_stock=Tanger
id=00011; nom=Tablette graphique; categorie=Informatique; prix=1714 DH; stock=38; fournisseur=MaghrebTech; ville_stock=Tetouan
id=00012; nom=Ordinateur portable; categorie=Informatique; prix=8646 DH; stock=138; fournisseur=NordInfo; ville_stock=Settat
id=00013; nom=Onduleur; categorie=Bureautique; prix=1691 DH; stock=99; fournisseur=RabatIT; ville_stock=Dakhla
id=00014; nom=Onduleur; categorie=Bureautique; prix=1563 DH; stock=120; fournisseur=AtlasCom; ville_stock=Taza
id=00015; nom=Webcam HD; categorie=Accessoires; prix=405 DH; stock=229; fournisseur=RabatIT; ville_stock=Oujda
id=00016; nom=Ecran 24 pouces; categorie=Informatique; prix=1479 DH; stock=239; fournisseur=CasaDigital; ville_stock=Errachidia
id=00017; nom=Tablette graphique; categorie=Informatique; prix=1821 DH; stock=150; fournisseur=RabatIT; ville_stock=Tanger
id=00018; nom=Clavier mecanique; categorie=Accessoires; prix=381 DH; stock=481; fournisseur=CasaDigital; ville_stock=Dakhla
id=00019; nom=Routeur WiFi; categorie=Reseau; prix=685 DH; stock=497; fournisseur=NordInfo; ville_stock=El Jadida
id=00020; nom=Onduleur; categorie=Bureautique; prix=1662 DH; stock=284; fournisseur=TechMaroc; ville_stock=Fes
id=00021; nom=Serveur NAS; categorie=Stockage; prix=5556 DH; stock=177; fournisseur=CasaDigital; ville_stock=Nador
id=00022; nom=Projecteur; categorie=Bureautique; prix=6371 DH; stock=200; fournisseur=CasaDigital; ville_stock=Fes
id=00023; nom=Routeur WiFi; categorie=Reseau; prix=833 DH; stock=135; fournisseur=AtlasCom; ville_stock=Kenitra
id=00024; nom=Disque SSD 1To; categorie=Stockage; prix=1305 DH; stock=303; fournisseur=CasaDigital; ville_stock=Marrakech
id=00025; nom=Ecran 24 pouces; categorie=Informatique; prix=1593 DH; stock=204; fournisseur=CasaDigital; ville_stock=Tanger
id=00026; nom=Routeur WiFi; categorie=Reseau; prix=634 DH; stock=263; fournisseur=TechMaroc; ville_stock=Agadir
id=00027; nom=Onduleur; categorie=Bureautique; prix=1306 DH; stock=144; fournisseur=NordInfo; ville_stock=Laayoune
